aptSeq,name,sigungu,dong,identityQuality,coordQuality,eligibility,confidence_coverage,transport,living,education,complex,total_WA,total_WB,total_WC,total_WD
26440-114,"외진가센트럴타워",강서구,대저1동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,68.3,24.5,57.3,62.4,53.1,53.7,55.3,53.0
26140-1353,"비스타동원더비치테라스",서구,암남동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,20.7,35.4,44.9,78.9,45.0,43.8,48.8,43.1
26260-151,"에스케이쁘띠메종",동래구,안락동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,54.7,56.7,68.6,55.5,58.9,58.2,58.2,58.7
26140-15,"문화",서구,동대신동3가,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,57.0,64.9,76.7,31.7,57.5,56.6,53.6,58.2
26350-2582,"협성루에나센텀",해운대구,재송동,IDENTITY_HIGH,COORD_LOW,NOT_ENOUGH_DATA,0.25,,,,73.1,,,,
26140-1202,"일광",서구,아미동2가,IDENTITY_LOW,COORD_LOW,NOT_ENOUGH_DATA,0.25,,,,76.0,,,,
26140-63,"문화",서구,토성동2가,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,79.5,77.8,74.9,18.6,62.7,63.0,56.9,64.6
26350-283,"스카이맨션",해운대구,중동,IDENTITY_LOW,COORD_HIGH,SCORE_AVAILABLE,1.00,46.4,60.2,33.8,11.7,38.0,38.7,34.5,39.4
26350-271,"에이스빌라",해운대구,중동,IDENTITY_LOW,COORD_HIGH,SCORE_AVAILABLE,1.00,24.7,43.3,31.7,28.0,31.9,31.6,31.0,31.9
26140-913,"보람",서구,서대신동2가,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,76.4,71.1,37.9,55.5,60.2,62.1,60.3,61.2
26350-225,"태석101동",해운대구,우동,IDENTITY_LOW,COORD_LOW,NOT_ENOUGH_DATA,0.25,,,,46.0,,,,
26260-1821,"명륜아이파크2단지",동래구,복천동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,56.8,63.3,64.3,65.3,62.4,62.0,62.6,62.1
26140-1290,"대신푸르지오2차",서구,서대신동2가,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,75.7,62.3,27.3,83.5,62.2,64.6,66.1,62.3
26140-1356,"대신해모로센트럴아파트",서구,서대신동2가,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,86.5,60.7,41.1,82.9,67.8,70.1,71.0,68.1
26350-2093,"더샵센텀파크1차",해운대구,재송동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,81.6,53.3,70.6,75.2,70.2,70.7,71.5,70.2
26350-2374,"에이스스카이뷰",해운대구,송정동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,58.1,28.0,30.6,56.0,43.2,44.5,45.8,43.2
26140-11,"구덕금호",서구,동대신동3가,IDENTITY_LOW,COORD_LOW,NOT_ENOUGH_DATA,0.25,,,,46.0,,,,
26140-917,"해오름",서구,토성동5가,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,67.7,75.5,66.5,46.9,64.1,64.2,61.7,64.9
26350-134,"SKVIEW",해운대구,좌동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,42.8,59.1,59.5,58.7,55.1,54.2,55.0,54.6
26350-32,"명유그린",해운대구,재송동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,33.1,60.0,79.7,36.7,52.4,50.1,49.1,52.1
26350-106,"건영1",해운대구,좌동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,41.8,61.8,61.9,60.8,56.6,55.6,56.5,56.0
26140-128,"충무제1",서구,충무동2가,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,52.5,68.8,46.4,18.3,46.5,46.8,42.6,47.7
26140-77,"문화",서구,남부민동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,43.3,49.3,67.6,20.8,45.2,44.0,41.5,45.7
26350-249,"대림맨션",해운대구,중동,IDENTITY_LOW,COORD_HIGH,SCORE_AVAILABLE,1.00,45.0,76.0,52.9,11.7,46.4,46.0,41.1,47.6
26140-1361,"e편한세상송도더퍼스트비치",서구,암남동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,25.3,37.7,62.0,89.0,53.5,51.7,57.4,51.3
26350-2285,"해운대힐스테이트위브",해운대구,중동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,20.7,51.0,45.5,84.3,50.4,49.1,54.0,48.5
26350-3370,"드파인센텀",해운대구,반여동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,53.4,59.9,51.7,86.0,62.8,62.8,65.8,61.9
26350-258,"석공힐타운",해운대구,중동,IDENTITY_LOW,COORD_HIGH,SCORE_AVAILABLE,1.00,22.9,43.0,47.8,12.0,31.4,30.2,28.1,31.7
26350-109,"경남선경",해운대구,좌동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,37.5,57.8,65.2,62.4,55.7,54.3,55.8,54.9
26230-136,"엘지신개금(2-2)",부산진구,개금동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,56.4,56.6,79.3,61.8,63.6,62.4,62.9,63.2
26470-1160,"해운그린빌",연제구,연산동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,47.4,80.4,78.9,46.4,63.3,61.7,60.0,63.3
26110-881,"코모도에스테이트",중구,대청동1가,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,68.3,74.0,77.8,62.9,70.8,70.3,69.5,70.9
